,ticker,time,orderType,investorType,volume,averagePrice,orderCount,prevPriceChange
412,FPT,13:50:23,Buy Up,SHEEP,200,129800.0,1,0.0
413,FPT,13:50:21,Sell Down,WOLF,1800,129800.0,4,0.0
414,FPT,13:50:07,Buy Up,WOLF,3600,129800.0,2,0.0
415,FPT,13:49:57,Sell Down,WOLF,5500,129800.0,13,0.0
416,FPT,13:49:55,Sell Down,WOLF,5000,129800.0,11,0.0
417,FPT,13:49:52,Sell Down,SHARK,20000,129800.0,33,-100.0
418,FPT,13:49:41,Buy Up,SHEEP,800,129900.0,1,0.0
419,FPT,13:49:38,Buy Up,SHEEP,200,129900.0,1,0.0
420,FPT,13:49:31,Buy Up,SHEEP,600,129900.0,1,0.0
421,FPT,13:49:28,Buy Up,SHEEP,100,129900.0,1,0.0
422,FPT,13:49:20,Sell Down,WOLF,3700,129900.0,11,0.0
423,FPT,13:49:19,Sell Down,SHEEP,1000,129900.0,4,-100.0
424,FPT,13:49:18,Buy Up,SHEEP,500,130000.0,1,0.0
425,FPT,13:49:12,Buy Up,SHEEP,100,130000.0,1,0.0
426,FPT,13:49:04,Buy Up,SHEEP,200,130000.0,1,0.0
427,FPT,13:48:27,Buy Up,SHEEP,200,130000.0,1,0.0
428,FPT,13:48:19,Sell Down,SHARK,9000,130000.0,9,-100.0
429,FPT,13:48:03,Buy Up,SHEEP,200,130100.0,1,0.0
430,FPT,13:48:00,Buy Up,SHEEP,100,130100.0,1,0.0
431,FPT,13:47:55,Buy Up,SHEEP,700,130100.0,1,100.0
432,FPT,13:47:53,Sell Down,WOLF,1900,130000.0,6,0.0
433,FPT,13:47:37,Sell Down,SHEEP,100,130000.0,1,0.0
434,FPT,13:47:20,Sell Down,WOLF,2000,130000.0,7,0.0
435,FPT,13:47:16,Sell Down,SHEEP,500,130000.0,1,-100.0
436,FPT,13:47:07,Buy Up,SHEEP,100,130100.0,1,100.0
437,FPT,13:47:05,Sell Down,SHEEP,400,130000.0,4,-100.0
438,FPT,13:47:03,Buy Up,SHEEP,800,130100.0,1,100.0
439,FPT,13:46:59,Sell Down,SHEEP,500,130000.0,1,-200.0
440,FPT,13:46:42,Buy Up,SHEEP,100,130200.0,1,0.0
441,FPT,13:46:39,Buy Up,SHEEP,100,130200.0,1,0.0
442,FPT,13:46:26,Buy Up,SHEEP,200,130200.0,1,0.0
443,FPT,13:46:10,Buy Up,SHEEP,800,130200.0,1,0.0
444,FPT,13:45:57,Buy Up,WOLF,3200,130200.0,2,0.0
445,FPT,13:45:18,Buy Up,SHEEP,800,130200.0,1,0.0
446,FPT,13:45:05,Buy Up,SHEEP,400,130200.0,1,0.0
447,FPT,13:44:25,Buy Up,SHEEP,700,130200.0,1,200.0
448,FPT,13:44:08,Buy Up,SHARK,7900,130000.0,3,0.0
449,FPT,13:44:03,Buy Up,WOLF,2000,130000.0,1,0.0
450,FPT,13:43:56,Buy Up,SHEEP,100,130000.0,1,0.0
451,FPT,13:43:52,Buy Up,SHEEP,100,130000.0,1,0.0
452,FPT,13:43:49,Buy Up,SHEEP,300,130000.0,2,0.0
453,FPT,13:43:42,Buy Up,SHEEP,100,130000.0,1,0.0
454,FPT,13:43:33,Buy Up,SHEEP,800,130000.0,1,0.0
455,FPT,13:43:30,Buy Up,SHEEP,100,130000.0,1,0.0
456,FPT,13:43:23,Buy Up,SHEEP,1000,130000.0,1,0.0
457,FPT,13:43:19,Buy Up,SHEEP,1400,130000.0,5,-60.0
458,FPT,13:43:19,Sell Down,WOLF,6900,130060.0,14,-140.0
459,FPT,13:43:19,Buy Up,SHEEP,100,130200.0,1,0.0
460,FPT,13:43:06,Buy Up,WOLF,1900,130200.0,2,0.0
461,FPT,13:43:01,Buy Up,SHEEP,1000,130200.0,1,0.0
462,FPT,13:42:49,Buy Up,SHEEP,300,130200.0,1,100.0
463,FPT,13:42:48,Sell Down,SHEEP,100,130100.0,1,-100.0
464,FPT,13:42:38,Buy Up,SHEEP,800,130200.0,2,80.0
465,FPT,13:42:29,Buy Up,SHARK,17000,130120.0,5,20.0
466,FPT,13:42:23,Buy Up,SHEEP,200,130100.0,1,0.0
467,FPT,13:42:11,Buy Up,WOLF,2800,130100.0,1,0.0
468,FPT,13:42:01,Buy Up,SHEEP,300,130100.0,1,0.0
469,FPT,13:41:45,Buy Up,SHEEP,800,130100.0,1,100.0
470,FPT,13:41:33,Buy Up,SHEEP,100,130000.0,1,0.0
471,FPT,13:41:27,Buy Up,SHARK,36000,130000.0,29,0.0
472,FPT,13:41:20,Buy Up,SHEEP,1000,130000.0,1,0.0
473,FPT,13:41:15,Buy Up,SHEEP,1100,130000.0,2,0.0
474,FPT,13:41:13,Buy Up,SHEEP,700,130000.0,1,0.0
475,FPT,13:40:53,Buy Up,SHEEP,100,130000.0,1,0.0
476,FPT,13:40:52,Buy Up,SHEEP,800,130000.0,1,0.0
477,FPT,13:40:47,Buy Up,SHEEP,200,130000.0,1,0.0
478,FPT,13:40:04,Buy Up,SHEEP,200,130000.0,2,0.0
479,FPT,13:39:59,Buy Up,SHEEP,800,130000.0,1,100.0
480,FPT,13:39:34,Sell Down,SHEEP,100,129900.0,1,0.0
481,FPT,13:39:29,Buy Up,SHEEP,600,129900.0,1,0.0
482,FPT,13:39:23,Buy Up,SHEEP,200,129900.0,2,0.0
483,FPT,13:39:17,Buy Up,SHEEP,200,129900.0,1,0.0
484,FPT,13:39:07,Buy Up,SHEEP,200,129900.0,1,0.0
485,FPT,13:39:05,Buy Up,SHEEP,800,129900.0,1,0.0
486,FPT,13:38:58,Buy Up,SHEEP,100,129900.0,1,0.0
487,FPT,13:38:45,Buy Up,SHEEP,100,129900.0,1,100.0
488,FPT,13:38:32,Sell Down,SHEEP,300,129800.0,2,-100.0
489,FPT,13:38:32,Buy Up,SHEEP,100,129900.0,1,0.0
490,FPT,13:38:15,Buy Up,SHEEP,100,129900.0,1,0.0
491,FPT,13:38:12,Buy Up,SHEEP,700,129900.0,2,100.0
492,FPT,13:37:46,Sell Down,SHEEP,200,129800.0,2,-100.0
493,FPT,13:37:42,Buy Up,SHEEP,600,129900.0,3,0.0
494,FPT,13:37:39,Buy Up,SHEEP,1000,129900.0,1,0.0
495,FPT,13:37:36,Buy Up,SHEEP,1000,129900.0,1,0.0
496,FPT,13:37:25,Buy Up,SHEEP,100,129900.0,1,0.0
497,FPT,13:37:22,Buy Up,SHEEP,100,129900.0,1,0.0
498,FPT,13:37:19,Buy Up,SHEEP,1300,129900.0,4,100.0
499,FPT,13:37:18,Sell Down,SHEEP,100,129800.0,1,-100.0
500,FPT,13:37:08,Buy Up,SHEEP,1000,129900.0,2,0.0
501,FPT,13:37:07,Buy Up,SHEEP,100,129900.0,1,0.0
502,FPT,13:37:05,Buy Up,SHEEP,700,129900.0,4,0.0
503,FPT,13:37:02,Buy Up,SHEEP,700,129900.0,2,0.0
504,FPT,13:36:58,Buy Up,SHEEP,200,129900.0,2,0.0
505,FPT,13:36:55,Buy Up,SHEEP,300,129900.0,1,0.0
506,FPT,13:36:53,Buy Up,SHEEP,100,129900.0,1,0.0
507,FPT,13:36:51,Buy Up,SHEEP,100,129900.0,1,100.0
508,FPT,13:36:42,Sell Down,SHEEP,200,129800.0,1,-100.0
509,FPT,13:36:39,Buy Up,WOLF,3000,129900.0,4,0.0
510,FPT,13:36:26,Buy Up,SHEEP,900,129900.0,2,0.0
511,FPT,13:36:24,Buy Up,SHEEP,300,129900.0,1,100.0
512,FPT,13:36:23,Sell Down,SHEEP,300,129800.0,1,0.0
513,FPT,13:35:58,Sell Down,SHEEP,1000,129800.0,2,0.0
514,FPT,13:35:55,Sell Down,SHEEP,100,129800.0,1,0.0
515,FPT,13:35:48,Sell Down,SHEEP,100,129800.0,1,0.0
516,FPT,13:35:31,Sell Down,SHEEP,100,129800.0,1,-100.0
517,FPT,13:35:31,Buy Up,SHEEP,100,129900.0,1,0.0
518,FPT,13:35:25,Buy Up,SHEEP,800,129900.0,1,100.0
519,FPT,13:35:24,Sell Down,WOLF,1900,129800.0,1,0.0
520,FPT,13:35:07,Sell Down,SHEEP,800,129800.0,1,0.0
521,FPT,13:35:05,Sell Down,SHEEP,100,129800.0,1,0.0
522,FPT,13:35:02,Sell Down,SHEEP,1500,129800.0,2,0.0
523,FPT,13:34:57,Sell Down,WOLF,2000,129800.0,2,0.0
524,FPT,13:34:54,Sell Down,SHEEP,100,129800.0,1,-100.0
525,FPT,13:34:53,Buy Up,WOLF,2000,129900.0,1,100.0
526,FPT,13:34:51,Sell Down,WOLF,2000,129800.0,1,0.0
527,FPT,13:34:36,Sell Down,SHEEP,1000,129800.0,1,-100.0
528,FPT,13:34:31,Buy Up,SHEEP,800,129900.0,1,0.0
529,FPT,13:34:24,Buy Up,SHEEP,500,129900.0,1,100.0
530,FPT,13:34:06,Sell Down,SHEEP,1000,129800.0,2,0.0
531,FPT,13:34:05,Sell Down,SHEEP,100,129800.0,1,0.0
532,FPT,13:33:47,Sell Down,SHEEP,500,129800.0,1,-100.0
533,FPT,13:33:46,Buy Up,SHEEP,100,129900.0,1,0.0
534,FPT,13:33:40,Buy Up,SHEEP,800,129900.0,1,100.0
535,FPT,13:33:38,Sell Down,SHEEP,600,129800.0,2,0.0
536,FPT,13:33:12,Sell Down,SHEEP,100,129800.0,1,0.0
537,FPT,13:33:08,Sell Down,SHEEP,200,129800.0,1,0.0
538,FPT,13:33:06,Sell Down,SHEEP,600,129800.0,2,0.0
539,FPT,13:33:04,Sell Down,SHEEP,100,129800.0,1,0.0
540,FPT,13:32:56,Sell Down,SHEEP,200,129800.0,1,0.0
541,FPT,13:32:48,Sell Down,SHEEP,1000,129800.0,3,-100.0
542,FPT,13:32:47,Buy Up,SHEEP,700,129900.0,1,0.0
543,FPT,13:32:26,Buy Up,SHEEP,1000,129900.0,1,0.0
544,FPT,13:31:54,Buy Up,SHEEP,800,129900.0,1,100.0
545,FPT,13:31:52,Sell Down,SHEEP,200,129800.0,1,0.0
546,FPT,13:31:37,Sell Down,SHEEP,100,129800.0,1,0.0
547,FPT,13:31:29,Sell Down,SHEEP,1000,129800.0,5,0.0
548,FPT,13:31:02,Sell Down,SHEEP,1000,129800.0,2,0.0
549,FPT,13:30:59,Sell Down,WOLF,2900,129800.0,5,0.0
550,FPT,13:30:57,Sell Down,WOLF,2000,129800.0,7,0.0
551,FPT,13:30:41,Sell Down,WOLF,2600,129800.0,9,0.0
552,FPT,13:30:39,Sell Down,SHEEP,100,129800.0,1,0.0
